File,Component,Impact Category,Amount,Unit
bill_of_materials.csv,Heat pipe_DN65.0,Ozone depletion,3.682620065459024e-05,kg CFC-11-Eq
bill_of_materials.csv,Heat pipe_DN65.0,Particulate matter formation,0.0002585747107782467,disease incidence
bill_of_materials.csv,Heat pipe_DN65.0,Photochemical oxidant formation: human health,12.348441653231221,kg NMVOC-Eq
bill_of_materials.csv,Heat pipe_DN65.0,Water use,1441.1901649752062,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN70.0,Acidification,45.26458546374626,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN70.0,Climate change,12668.884585744054,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN70.0,Climate change: biogenic,10.198297050917363,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN70.0,Climate change: fossil,12649.93707425562,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN70.0,Climate change: land use and land use change,8.749214437516738,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN70.0,Ecotoxicity: freshwater,470702.8290139228,CTUe
bill_of_materials.csv,Heat pipe_DN70.0,"Ecotoxicity: freshwater, inorganics",67887.49073607622,CTUe
bill_of_materials.csv,Heat pipe_DN70.0,"Ecotoxicity: freshwater, metals",399385.2599013211,CTUe
bill_of_materials.csv,Heat pipe_DN70.0,"Ecotoxicity: freshwater, organics",3430.078376525828,CTUe
bill_of_materials.csv,Heat pipe_DN70.0,Energy resources: non-renewable,156783.14982355322,"MJ, net calorific value"
bill_of_materials.csv,Heat pipe_DN70.0,Eutrophication: freshwater,5.000653267575522,kg P-Eq
bill_of_materials.csv,Heat pipe_DN70.0,Eutrophication: marine,11.183671003471186,kg N-Eq
bill_of_materials.csv,Heat pipe_DN70.0,Eutrophication: terrestrial,111.86159308964281,mol N-Eq
bill_of_materials.csv,Heat pipe_DN70.0,Human toxicity: carcinogenic,1.2015087741230716e-05,CTUh
bill_of_materials.csv,Heat pipe_DN70.0,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Heat pipe_DN70.0,"Human toxicity: carcinogenic, metals",4.615212670915013e-06,CTUh
bill_of_materials.csv,Heat pipe_DN70.0,"Human toxicity: carcinogenic, organics",7.399875070315703e-06,CTUh
bill_of_materials.csv,Heat pipe_DN70.0,Human toxicity: non-carcinogenic,0.00034493673291201087,CTUh
bill_of_materials.csv,Heat pipe_DN70.0,"Human toxicity: non-carcinogenic, inorganics",0.00017953915764448765,CTUh
bill_of_materials.csv,Heat pipe_DN70.0,"Human toxicity: non-carcinogenic, metals",0.00016082445403613684,CTUh
bill_of_materials.csv,Heat pipe_DN70.0,"Human toxicity: non-carcinogenic, organics",6.19449410879673e-06,CTUh
bill_of_materials.csv,Heat pipe_DN70.0,Ionising radiation: human health,421.72005260021905,kBq U235-Eq
bill_of_materials.csv,Heat pipe_DN70.0,Land use,50152.307061454456,dimensionless
bill_of_materials.csv,Heat pipe_DN70.0,Material resources: metals/minerals,0.07317023446991873,kg Sb-Eq
bill_of_materials.csv,Heat pipe_DN70.0,Ozone depletion,0.00013137724627613025,kg CFC-11-Eq
bill_of_materials.csv,Heat pipe_DN70.0,Particulate matter formation,0.0009152746010863227,disease incidence
bill_of_materials.csv,Heat pipe_DN70.0,Photochemical oxidant formation: human health,43.832087212314065,kg NMVOC-Eq
bill_of_materials.csv,Heat pipe_DN70.0,Water use,5129.272742030195,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN95.0,Acidification,23.08789260771178,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN95.0,Climate change,6445.52053999753,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN95.0,Climate change: biogenic,5.203233143571316,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN95.0,Climate change: fossil,6435.64195625217,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN95.0,Climate change: land use and land use change,4.675350601788964,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN95.0,Ecotoxicity: freshwater,238234.63399041886,CTUe
bill_of_materials.csv,Heat pipe_DN95.0,"Ecotoxicity: freshwater, inorganics",36112.155028793335,CTUe
bill_of_materials.csv,Heat pipe_DN95.0,"Ecotoxicity: freshwater, metals",200085.55008167602,CTUe
bill_of_materials.csv,Heat pipe_DN95.0,"Ecotoxicity: freshwater, organics",2036.9288799493772,CTUe
bill_of_materials.csv,Heat pipe_DN95.0,Energy resources: non-renewable,79912.6487207125,"MJ, net calorific value"
bill_of_materials.csv,Heat pipe_DN95.0,Eutrophication: freshwater,2.5052824376407714,kg P-Eq
bill_of_materials.csv,Heat pipe_DN95.0,Eutrophication: marine,5.805361178718065,kg N-Eq
bill_of_materials.csv,Heat pipe_DN95.0,Eutrophication: terrestrial,57.63301678456858,mol N-Eq
bill_of_materials.csv,Heat pipe_DN95.0,Human toxicity: carcinogenic,6.108658654774866e-06,CTUh
bill_of_materials.csv,Heat pipe_DN95.0,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Heat pipe_DN95.0,"Human toxicity: carcinogenic, metals",2.3009846845254167e-06,CTUh
bill_of_materials.csv,Heat pipe_DN95.0,"Human toxicity: carcinogenic, organics",3.807673970249449e-06,CTUh
bill_of_materials.csv,Heat pipe_DN95.0,Human toxicity: non-carcinogenic,0.00017465251162675116,CTUh
bill_of_materials.csv,Heat pipe_DN95.0,"Human toxicity: non-carcinogenic, inorganics",9.124578144940282e-05,CTUh
bill_of_materials.csv,Heat pipe_DN95.0,"Human toxicity: non-carcinogenic, metals",8.09809408948401e-05,CTUh
bill_of_materials.csv,Heat pipe_DN95.0,"Human toxicity: non-carcinogenic, organics",3.2495521748770684e-06,CTUh
bill_of_materials.csv,Heat pipe_DN95.0,Ionising radiation: human health,219.05285701498167,kBq U235-Eq
bill_of_materials.csv,Heat pipe_DN95.0,Land use,27018.170682113614,dimensionless
bill_of_materials.csv,Heat pipe_DN95.0,Material resources: metals/minerals,0.03756873397957043,kg Sb-Eq
bill_of_materials.csv,Heat pipe_DN95.0,Ozone depletion,6.908764401439246e-05,kg CFC-11-Eq
bill_of_materials.csv,Heat pipe_DN95.0,Particulate matter formation,0.0004627090852803767,disease incidence
bill_of_materials.csv,Heat pipe_DN95.0,Photochemical oxidant formation: human health,22.48028741015586,kg NMVOC-Eq
bill_of_materials.csv,Heat pipe_DN95.0,Water use,2662.120472633756,m3 world Eq deprived
bill_of_materials.csv,Geothermal heat supply,Acidification,24670.277688180246,mol H+-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change,4409981.183673144,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: biogenic,3048.3230858156453,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: fossil,4405126.340437842,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Climate change: land use and land use change,1806.5201494876012,kg CO2-Eq
bill_of_materials.csv,Geothermal heat supply,Ecotoxicity: freshwater,1350786481.117878,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, inorganics",12806272.10408626,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, metals",909392475.2934711,CTUe
bill_of_materials.csv,Geothermal heat supply,"Ecotoxicity: freshwater, organics",428587733.72032326,CTUe
bill_of_materials.csv,Geothermal heat supply,Energy resources: non-renewable,63198085.19707978,"MJ, net calorific value"
bill_of_materials.csv,Geothermal heat supply,Eutrophication: freshwater,1133.8242854024804,kg P-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: marine,7206.4797281303745,kg N-Eq
bill_of_materials.csv,Geothermal heat supply,Eutrophication: terrestrial,90311.84166533184,mol N-Eq
bill_of_materials.csv,Geothermal heat supply,Human toxicity: carcinogenic,0.002819249764874452,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, metals",0.0011416074932556561,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: carcinogenic, organics",0.001677642271618796,CTUh
bill_of_materials.csv,Geothermal heat supply,Human toxicity: non-carcinogenic,0.11587512007363977,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, inorganics",0.04941560285313246,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, metals",0.06502879462143017,CTUh
bill_of_materials.csv,Geothermal heat supply,"Human toxicity: non-carcinogenic, organics",0.002006889178456153,CTUh
bill_of_materials.csv,Geothermal heat supply,Ionising radiation: human health,129757.98209414448,kBq U235-Eq
bill_of_materials.csv,Geothermal heat supply,Land use,9436272.831343153,dimensionless
bill_of_materials.csv,Geothermal heat supply,Material resources: metals/minerals,26.4449858784421,kg Sb-Eq
bill_of_materials.csv,Geothermal heat supply,Ozone depletion,0.0966160369799054,kg CFC-11-Eq
bill_of_materials.csv,Geothermal heat supply,Particulate matter formation,0.2246376255646104,disease incidence
bill_of_materials.csv,Geothermal heat supply,Photochemical oxidant formation: human health,26588.968055393925,kg NMVOC-Eq
bill_of_materials.csv,Geothermal heat supply,Water use,1571996.9891665524,m3 world Eq deprived
bill_of_materials.csv,HQ to LQ heat conversion substation,Acidification,11069.65749237744,mol H+-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change,1971308.613307247,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: biogenic,3424.5138239824764,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: fossil,1965700.111613566,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Climate change: land use and land use change,2183.9878696986557,kg CO2-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ecotoxicity: freshwater,113976123.85058632,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, inorganics",23215176.350831922,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, metals",90578882.5170675,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,"Ecotoxicity: freshwater, organics",182064.98268682536,CTUe
bill_of_materials.csv,HQ to LQ heat conversion substation,Energy resources: non-renewable,22139318.735854033,"MJ, net calorific value"
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: freshwater,1947.8138548979787,kg P-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: marine,2035.9850703956515,kg N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Eutrophication: terrestrial,21292.25861603218,mol N-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: carcinogenic,0.0026462757537966904,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, metals",0.0020641501608496763,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: carcinogenic, organics",0.0005821255929470124,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,Human toxicity: non-carcinogenic,0.0481213391902535,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, inorganics",0.007706458255726434,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, metals",0.03992531759365255,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,"Human toxicity: non-carcinogenic, organics",0.0007105012118050682,CTUh
bill_of_materials.csv,HQ to LQ heat conversion substation,Ionising radiation: human health,125611.6801288167,kBq U235-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Land use,10647996.467518024,dimensionless
bill_of_materials.csv,HQ to LQ heat conversion substation,Material resources: metals/minerals,53.74169096121845,kg Sb-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Ozone depletion,0.01393048466116606,kg CFC-11-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Particulate matter formation,0.17081199854828372,disease incidence
bill_of_materials.csv,HQ to LQ heat conversion substation,Photochemical oxidant formation: human health,6664.7078748523345,kg NMVOC-Eq
bill_of_materials.csv,HQ to LQ heat conversion substation,Water use,753020.5006467876,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN325.0,Acidification,4553.432472580759,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN325.0,Climate change,1259611.6914857503,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN325.0,Climate change: biogenic,1027.7457226991494,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN325.0,Climate change: fossil,1257374.5866206323,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN325.0,Climate change: land use and land use change,1209.35914241878,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN325.0,Ecotoxicity: freshwater,44383398.95730044,CTUe
bill_of_materials.csv,Heat pipe_DN325.0,"Ecotoxicity: freshwater, inorganics",9124170.034273943,CTUe
bill_of_materials.csv,Heat pipe_DN325.0,"Ecotoxicity: freshwater, metals",34470842.87582322,CTUe
bill_of_materials.csv,Heat pipe_DN325.0,"Ecotoxicity: freshwater, organics",788386.0472033313,CTUe
bill_of_materials.csv,Heat pipe_DN325.0,Energy resources: non-renewable,15919383.03607467,"MJ, net calorific value"
bill_of_materials.csv,Heat pipe_DN325.0,Eutrophication: freshwater,429.6316470226172,kg P-Eq
bill_of_materials.csv,Heat pipe_DN325.0,Eutrophication: marine,1281.430210337786,kg N-Eq
bill_of_materials.csv,Heat pipe_DN325.0,Eutrophication: terrestrial,12146.611563802711,mol N-Eq
bill_of_materials.csv,Heat pipe_DN325.0,Human toxicity: carcinogenic,0.0011671083738361186,CTUh
bill_of_materials.csv,Heat pipe_DN325.0,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Heat pipe_DN325.0,"Human toxicity: carcinogenic, metals",0.0003780696287572319,CTUh
bill_of_materials.csv,Heat pipe_DN325.0,"Human toxicity: carcinogenic, organics",0.000789038745078887,CTUh
bill_of_materials.csv,Heat pipe_DN325.0,Human toxicity: non-carcinogenic,0.03245969498436676,CTUh
bill_of_materials.csv,Heat pipe_DN325.0,"Human toxicity: non-carcinogenic, inorganics",0.01739025943496003,CTUh
bill_of_materials.csv,Heat pipe_DN325.0,"Human toxicity: non-carcinogenic, metals",0.014465427510218218,CTUh
bill_of_materials.csv,Heat pipe_DN325.0,"Human toxicity: non-carcinogenic, organics",0.0007648253336478229,CTUh
bill_of_materials.csv,Heat pipe_DN325.0,Ionising radiation: human health,48602.36530181301,kBq U235-Eq
bill_of_materials.csv,Heat pipe_DN325.0,Land use,7274332.347256094,dimensionless
bill_of_materials.csv,Heat pipe_DN325.0,Material resources: metals/minerals,7.7321472762909345,kg Sb-Eq
bill_of_materials.csv,Heat pipe_DN325.0,Ozone depletion,0.01675153188970289,kg CFC-11-Eq
bill_of_materials.csv,Heat pipe_DN325.0,Particulate matter formation,0.08520791716441442,disease incidence
bill_of_materials.csv,Heat pipe_DN325.0,Photochemical oxidant formation: human health,4629.199041468308,kg NMVOC-Eq
bill_of_materials.csv,Heat pipe_DN325.0,Water use,585611.4097614884,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN105.0,Acidification,86.32271378280198,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN105.0,Climate change,24080.136718989994,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN105.0,Climate change: biogenic,19.456115877137844,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN105.0,Climate change: fossil,24042.8960858058,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN105.0,Climate change: land use and land use change,17.784517307056483,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN105.0,Ecotoxicity: freshwater,888036.3818670844,CTUe
bill_of_materials.csv,Heat pipe_DN105.0,"Ecotoxicity: freshwater, inorganics",137139.63983325643,CTUe
bill_of_materials.csv,Heat pipe_DN105.0,"Ecotoxicity: freshwater, metals",742870.863260682,CTUe
bill_of_materials.csv,Heat pipe_DN105.0,"Ecotoxicity: freshwater, organics",8025.878773146002,CTUe
bill_of_materials.csv,Heat pipe_DN105.0,Energy resources: non-renewable,298804.97159768164,"MJ, net calorific value"
bill_of_materials.csv,Heat pipe_DN105.0,Eutrophication: freshwater,9.30069312124943,kg P-Eq
bill_of_materials.csv,Heat pipe_DN105.0,Eutrophication: marine,21.84985814504956,kg N-Eq
bill_of_materials.csv,Heat pipe_DN105.0,Eutrophication: terrestrial,216.30698607755596,mol N-Eq
bill_of_materials.csv,Heat pipe_DN105.0,Human toxicity: carcinogenic,2.2806418300327517e-05,CTUh
bill_of_materials.csv,Heat pipe_DN105.0,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Heat pipe_DN105.0,"Human toxicity: carcinogenic, metals",8.525466139041456e-06,CTUh
bill_of_materials.csv,Heat pipe_DN105.0,"Human toxicity: carcinogenic, organics",1.428095216128606e-05,CTUh
bill_of_materials.csv,Heat pipe_DN105.0,Human toxicity: non-carcinogenic,0.0006510555651704743,CTUh
bill_of_materials.csv,Heat pipe_DN105.0,"Human toxicity: non-carcinogenic, inorganics",0.00034061424069438336,CTUh
bill_of_materials.csv,Heat pipe_DN105.0,"Human toxicity: non-carcinogenic, metals",0.00030123853142293734,CTUh
bill_of_materials.csv,Heat pipe_DN105.0,"Human toxicity: non-carcinogenic, organics",1.2279298694550587e-05,CTUh
bill_of_materials.csv,Heat pipe_DN105.0,Ionising radiation: human health,824.6832728207339,kBq U235-Eq
bill_of_materials.csv,Heat pipe_DN105.0,Land use,103073.6046580545,dimensionless
bill_of_materials.csv,Heat pipe_DN105.0,Material resources: metals/minerals,0.14081314332097697,kg Sb-Eq
bill_of_materials.csv,Heat pipe_DN105.0,Ozone depletion,0.0002614183470360931,kg CFC-11-Eq
bill_of_materials.csv,Heat pipe_DN105.0,Particulate matter formation,0.0017238936898542028,disease incidence
bill_of_materials.csv,Heat pipe_DN105.0,Photochemical oxidant formation: human health,84.2396836499479,kg NMVOC-Eq
bill_of_materials.csv,Heat pipe_DN105.0,Water use,10018.278948754984,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN110.0,Acidification,315.11343753611663,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN110.0,Climate change,87871.00716367942,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN110.0,Climate change: biogenic,71.02612061862496,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN110.0,Climate change: fossil,87734.51598348466,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN110.0,Climate change: land use and land use change,65.46505957612544,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN110.0,Ecotoxicity: freshwater,3236855.577048215,CTUe
bill_of_materials.csv,Heat pipe_DN110.0,"Ecotoxicity: freshwater, inorganics",504412.5766593558,CTUe
bill_of_materials.csv,Heat pipe_DN110.0,"Ecotoxicity: freshwater, metals",2702411.374995979,CTUe
bill_of_materials.csv,Heat pipe_DN110.0,"Ecotoxicity: freshwater, organics",30031.625392878173,CTUe
bill_of_materials.csv,Heat pipe_DN110.0,Energy resources: non-renewable,1090852.079822124,"MJ, net calorific value"
bill_of_materials.csv,Heat pipe_DN110.0,Eutrophication: freshwater,33.83205445896208,kg P-Eq
bill_of_materials.csv,Heat pipe_DN110.0,Eutrophication: marine,80.01944823295128,kg N-Eq
bill_of_materials.csv,Heat pipe_DN110.0,Eutrophication: terrestrial,791.085997477793,mol N-Eq
bill_of_materials.csv,Heat pipe_DN110.0,Human toxicity: carcinogenic,8.319117268813859e-05,CTUh
bill_of_materials.csv,Heat pipe_DN110.0,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Heat pipe_DN110.0,"Human toxicity: carcinogenic, metals",3.098158237206661e-05,CTUh
bill_of_materials.csv,Heat pipe_DN110.0,"Human toxicity: carcinogenic, organics",5.2209590316072e-05,CTUh
bill_of_materials.csv,Heat pipe_DN110.0,Human toxicity: non-carcinogenic,0.0023730783673448475,CTUh
bill_of_materials.csv,Heat pipe_DN110.0,"Human toxicity: non-carcinogenic, inorganics",0.00124237636116401,CTUh
bill_of_materials.csv,Heat pipe_DN110.0,"Human toxicity: non-carcinogenic, metals",0.0010968698265316076,CTUh
bill_of_materials.csv,Heat pipe_DN110.0,"Human toxicity: non-carcinogenic, organics",4.505713717953406e-05,CTUh
bill_of_materials.csv,Heat pipe_DN110.0,Ionising radiation: human health,3020.6043884131527,kBq U235-Eq
bill_of_materials.csv,Heat pipe_DN110.0,Land use,379943.39636732044,dimensionless
bill_of_materials.csv,Heat pipe_DN110.0,Material resources: metals/minerals,0.5146472783922426,kg Sb-Eq
bill_of_materials.csv,Heat pipe_DN110.0,Ozone depletion,0.0009599209290173665,kg CFC-11-Eq
bill_of_materials.csv,Heat pipe_DN110.0,Particulate matter formation,0.006281868430968936,disease incidence
bill_of_materials.csv,Heat pipe_DN110.0,Photochemical oxidant formation: human health,307.8539249507089,kg NMVOC-Eq
bill_of_materials.csv,Heat pipe_DN110.0,Water use,36686.82674866654,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN120.0,Acidification,46.46695474943911,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN120.0,Climate change,12949.009111916159,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN120.0,Climate change: biogenic,10.474517484603227,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN120.0,Climate change: fossil,12928.723563285903,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN120.0,Climate change: land use and land use change,9.811031145651524,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN120.0,Ecotoxicity: freshwater,475903.8073779764,CTUe
bill_of_materials.csv,Heat pipe_DN120.0,"Ecotoxicity: freshwater, inorganics",75479.54526482789,CTUe
bill_of_materials.csv,Heat pipe_DN120.0,"Ecotoxicity: freshwater, metals",395783.4922586151,CTUe
bill_of_materials.csv,Heat pipe_DN120.0,"Ecotoxicity: freshwater, organics",4640.769854533862,CTUe
bill_of_materials.csv,Heat pipe_DN120.0,Energy resources: non-renewable,160896.62694578286,"MJ, net calorific value"
bill_of_materials.csv,Heat pipe_DN120.0,Eutrophication: freshwater,4.954224802786347,kg P-Eq
bill_of_materials.csv,Heat pipe_DN120.0,Eutrophication: marine,11.874548908317408,kg N-Eq
bill_of_materials.csv,Heat pipe_DN120.0,Eutrophication: terrestrial,117.08168131047256,mol N-Eq
bill_of_materials.csv,Heat pipe_DN120.0,Human toxicity: carcinogenic,1.2249060353399359e-05,CTUh
bill_of_materials.csv,Heat pipe_DN120.0,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Heat pipe_DN120.0,"Human toxicity: carcinogenic, metals",4.527892891827593e-06,CTUh
bill_of_materials.csv,Heat pipe_DN120.0,"Human toxicity: carcinogenic, organics",7.721167461571763e-06,CTUh
bill_of_materials.csv,Heat pipe_DN120.0,Human toxicity: non-carcinogenic,0.0003488988936313434,CTUh
bill_of_materials.csv,Heat pipe_DN120.0,"Human toxicity: non-carcinogenic, inorganics",0.00018290291363722575,CTUh
bill_of_materials.csv,Heat pipe_DN120.0,"Human toxicity: non-carcinogenic, metals",0.00016093814191614432,CTUh
bill_of_materials.csv,Heat pipe_DN120.0,"Human toxicity: non-carcinogenic, organics",6.711615370357284e-06,CTUh
bill_of_materials.csv,Heat pipe_DN120.0,Ionising radiation: human health,448.3680264165069,kBq U235-Eq
bill_of_materials.csv,Heat pipe_DN120.0,Land use,57092.59653130148,dimensionless
bill_of_materials.csv,Heat pipe_DN120.0,Material resources: metals/minerals,0.07606964716896356,kg Sb-Eq
bill_of_materials.csv,Heat pipe_DN120.0,Ozone depletion,0.00014319838927223086,kg CFC-11-Eq
bill_of_materials.csv,Heat pipe_DN120.0,Particulate matter formation,0.000923109070131495,disease incidence
bill_of_materials.csv,Heat pipe_DN120.0,Photochemical oxidant formation: human health,45.49762797900754,kg NMVOC-Eq
bill_of_materials.csv,Heat pipe_DN120.0,Water use,5443.369343444735,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN140.0,Acidification,68.63418940084598,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN140.0,Climate change,19104.467427224845,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN140.0,Climate change: biogenic,15.473990517430275,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN140.0,Climate change: fossil,19074.05394887108,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN140.0,Climate change: land use and land use change,14.939487836337685,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN140.0,Ecotoxicity: freshwater,698912.7472459413,CTUe
bill_of_materials.csv,Heat pipe_DN140.0,"Ecotoxicity: freshwater, inorganics",114611.39451601707,CTUe
bill_of_materials.csv,Heat pipe_DN140.0,"Ecotoxicity: freshwater, metals",576843.0714213996,CTUe
bill_of_materials.csv,Heat pipe_DN140.0,"Ecotoxicity: freshwater, organics",7458.281308524379,CTUe
bill_of_materials.csv,Heat pipe_DN140.0,Energy resources: non-renewable,237815.3256904804,"MJ, net calorific value"
bill_of_materials.csv,Heat pipe_DN140.0,Eutrophication: freshwater,7.218260269240278,kg P-Eq
bill_of_materials.csv,Heat pipe_DN140.0,Eutrophication: marine,17.752183414130027,kg N-Eq
bill_of_materials.csv,Heat pipe_DN140.0,Eutrophication: terrestrial,174.15209386729606,mol N-Eq
bill_of_materials.csv,Heat pipe_DN140.0,Human toxicity: carcinogenic,1.803773670880354e-05,CTUh
bill_of_materials.csv,Heat pipe_DN140.0,"Human toxicity: carcinogenic, inorganics",0.0,CTUh
bill_of_materials.csv,Heat pipe_DN140.0,"Human toxicity: carcinogenic, metals",6.571283157257354e-06,CTUh
bill_of_materials.csv,Heat pipe_DN140.0,"Human toxicity: carcinogenic, organics",1.1466453551546185e-05,CTUh
bill_of_materials.csv,Heat pipe_DN140.0,Human toxicity: non-carcinogenic,0.0005123347114099335,CTUh
bill_of_materials.csv,Heat pipe_DN140.0,"Human toxicity: non-carcinogenic, inorganics",0.00026927060231878627,CTUh
bill_of_materials.csv,Heat pipe_DN140.0,"Human toxicity: non-carcinogenic, metals",0.00023539742006222514,CTUh
bill_of_materials.csv,Heat pipe_DN140.0,"Human toxicity: non-carcinogenic, organics",1.0105848371163565e-05,CTUh
bill_of_materials.csv,Heat pipe_DN140.0,Ionising radiation: human health,670.6622080970161,kBq U235-Eq
bill_of_materials.csv,Heat pipe_DN140.0,Land use,87362.02862570097,dimensionless
bill_of_materials.csv,Heat pipe_DN140.0,Material resources: metals/minerals,0.11286639574369023,kg Sb-Eq
bill_of_materials.csv,Heat pipe_DN140.0,Ozone depletion,0.00021627101350475648,kg CFC-11-Eq
bill_of_materials.csv,Heat pipe_DN140.0,Particulate matter formation,0.0013542130665805826,disease incidence
bill_of_materials.csv,Heat pipe_DN140.0,Photochemical oxidant formation: human health,67.49687708932571,kg NMVOC-Eq
bill_of_materials.csv,Heat pipe_DN140.0,Water use,8135.132804124476,m3 world Eq deprived
bill_of_materials.csv,Heat pipe_DN145.0,Acidification,173.4912957111403,mol H+-Eq
bill_of_materials.csv,Heat pipe_DN145.0,Climate change,48279.1891353629,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN145.0,Climate change: biogenic,39.11619222594161,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN145.0,Climate change: fossil,48202.03490361566,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN145.0,Climate change: land use and land use change,38.03803952129784,kg CO2-Eq
bill_of_materials.csv,Heat pipe_DN145.0,Ecotoxicity: freshwater,1764216.1487384376,CTUe
